frame_index,time_seconds,x1,y1,x2,y2,confidence,pitch_deg,yaw_deg,roll_deg
86,2.87,237.242,324.503,402.164,487.264,0.8441,-35.611,-161.221,5.826
86,2.87,1567.515,117.034,1604.004,152.694,0.7786,21.214,102.058,8.269
87,2.903,1566.802,116.071,1603.63,152.455,0.8127,19.606,135.806,12.541
87,2.903,249.866,320.625,415.76,485.14,0.7915,-34.72,105.568,0.436
88,2.936,290.775,320.938,453.292,484.427,0.8464,-31.742,-162.536,3.086
88,2.936,1565.86,115.798,1602.638,151.957,0.7534,31.046,121.412,10.958
89,2.97,309.052,322.634,474.03,488.818,0.8467,-32.764,-163.88,4.2
89,2.97,1565.206,116.557,1602.948,153.309,0.8017,31.087,119.723,14.14
90,3.003,327.622,325.837,489.981,490.038,0.8404,-34.078,-158.388,4.617
90,3.003,1564.402,118.101,1601.46,154.205,0.8171,27.055,71.091,-0.376
91,3.036,334.873,328.932,500.894,496.018,0.8372,-32.938,-161.068,5.325
91,3.036,1563.898,118.809,1600.563,154.603,0.7646,24.403,12.099,-14.837
92,3.07,345.275,329.585,507.596,491.99,0.8562,-35.259,-160.973,5.289
92,3.07,1563.602,119.269,1600.465,155.431,0.778,24.932,4.682,-16.345
93,3.103,360.675,333.298,526.574,500.332,0.795,-33.259,-133.853,4.419
93,3.103,1563.108,120.285,1599.997,156.372,0.7802,27.079,-8.833,-19.858
94,3.136,377.442,332.385,543.677,498.61,0.8215,-27.323,149.968,1.615
94,3.136,1562.907,121.75,1599.442,157.68,0.797,29.033,-19.419,-24.607
95,3.17,405.946,332.255,562.103,488.068,0.8509,-32.909,158.833,-0.725
95,3.17,1562.278,122.756,1598.238,158.163,0.7363,27.626,-20.462,-22.033
96,3.203,436.269,327.936,584.459,475.393,0.8533,-38.507,-140.961,4.352
96,3.203,1561.005,122.253,1597.128,158.024,0.7009,38.575,-35.495,-30.4
97,3.237,443.471,326.309,593.347,475.238,0.8762,-38.592,-162.278,5.187
97,3.237,1560.693,121.965,1597.04,157.966,0.7359,41.158,-31.802,-30.085
98,3.27,451.993,325.596,600.48,472.573,0.8246,-39.574,-162.813,7.733
98,3.27,1560.279,121.745,1596.662,157.732,0.762,42.502,-32.116,-31.818
99,3.303,463.148,320.149,619.147,477.078,0.8327,-32.804,137.22,0.876
99,3.303,1559.843,120.411,1596.136,156.348,0.7636,39.88,-20.743,-27.295
100,3.337,478.507,315.911,636.394,475.68,0.8122,-35.39,-161.733,5.485
100,3.337,1559.882,119.094,1596.302,155.035,0.594,42.43,-27.953,-28.293
101,3.37,509.733,311.142,660.068,462.661,0.8773,-34.965,-160.667,11.349
101,3.37,1559.032,115.385,1597.796,153.756,0.8027,30.324,-23.08,-19.435
